"UPC","Description","Cat","Parent Brand","Brand","HHID","Store","date","qty","price","Online"
3800019994,"KLG RICE KRISPIES 12Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",97739,10,"19-04-06",1,4.49,0
1600027568,"GM COCOA PUFFS 16.5 OZ","RTE Cereal","Big G","Cocoa Puffs",45174,17,"19-06-29",1,3.99,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",214553,7,"21-08-15",1,3.69,0
65585200026,"AURORA VANILLA CR GRANOLA","RTE Cereal","All Other","AURORA NATURAL",347428,8,"21-08-30",1,5.79,0
1600014983,"GMI CHEERIOS CEREAL BLUEBERRY MID","RTE Cereal","Big G","CHEERIOS",300768,2,"19-05-11",1,3.99,0
3000006441,"QUAKER BRWN SUG OATMEAL SQUAR","RTE Cereal","Quaker","OATMEAL SQUARES",229260,9,"20-08-10",1,4.49,0
1600062570,"KIX CEREAL","RTE Cereal","Big G","Kix",130121,15,"20-08-15",1,5.29,0
3800018171,"KELL FRUIT LOOPS FAMILY","RTE Cereal","Kelloggs","Froot Loops",159274,6,"21-09-20",1,4.99,0
3800019989,"KELLOGG RAISIN BRAN","RTE Cereal","Kelloggs","Raisin Bran",244397,7,"19-11-07",1,4.59,1
1600087700,"Gen Mills Tons O' Fun Bkfast Pack 8","RTE Cereal","Big G","OTHER GENERAL MILLS",182119,25,"21-10-25",1,5.99,0
3800078711,"SPCL K FRUIT&YOGURT 12.5","RTE Cereal","Kelloggs","SPECIAL K",358524,8,"19-01-10",2,7.98,0
1600012479,"GENERAL MILLS HONEY NUT CHEERIOS HONEY NUT WHOLE GRAIN OAT BOX SWEETENED 10.8 OZ - 0016000124791","RTE Cereal","Big G","CHEERIOS",258098,7,"21-04-13",1,3.49,0
1600012506,"GM HON NT CHERIOS 15.4Z","RTE Cereal","Big G","CHEERIOS",257211,14,"20-08-08",1,3.79,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",331767,10,"20-04-06",2,7.38,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",184123,1,"20-11-20",2,7.38,0
1600012506,"GM HON NT CHERIOS 15.4Z","RTE Cereal","Big G","CHEERIOS",96203,6,"20-07-19",1,3.99,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",165124,5,"19-11-14",1,3.69,1
1600012479,"GENERAL MILLS HONEY NUT CHEERIOS HONEY NUT WHOLE GRAIN OAT BOX SWEETENED 10.8 OZ - 0016000124791","RTE Cereal","Big G","CHEERIOS",122203,5,"19-06-08",1,3.29,0
1600012479,"GENERAL MILLS HONEY NUT CHEERIOS HONEY NUT WHOLE GRAIN OAT BOX SWEETENED 10.8 OZ - 0016000124791","RTE Cereal","Big G","CHEERIOS",142258,11,"21-11-08",1,3.69,0
3000056807,"CAPTAIN CRUNCH COTTON CANDY SWEETENED","RTE Cereal","Quaker","Cap'n Crunch",86058,17,"20-09-17",1,4.29,0
1600012254,"GENERAL MILLS CINNAMON TOAST CRUNCH CINNAMON TOAST WHOLE WHEAT AND RICE BOX SWEETENED 12 OZ - 0016000122541","RTE Cereal","Big G","TOAST CRUNCH",311342,15,"20-02-08",2,7.58,0
3000006119,"QKR LIFE CEREAL 18 OZ","RTE Cereal","Quaker","LIFE",22690,19,"19-01-27",1,4.69,0
3800019891,"KLG FRT LPS MLWS 10.5Z","RTE Cereal","Kelloggs","Froot Loops",266068,8,"20-01-17",2,7.98,0
3800019849,"KLG APL JACKS10.1Z","RTE Cereal","Kelloggs","APPLE JACKS",132692,22,"19-10-21",1,3.99,0
3800019922,"KLLGG CEREAL FRSTD FLKS MARSHMALLOW","RTE Cereal","Kelloggs","FROSTED FLAKES",326288,13,"19-10-11",1,4.49,0
3800001621,"KELLOGG'S® SPECIAL K® CEREAL","RTE Cereal","Kelloggs","SPECIAL K",392907,15,"19-10-05",1,5.49,0
1600043778,"NTRVALLY OATS N CHOC PTN CRL","RTE Cereal","Big G","NATURE VALLEY",342199,12,"20-03-06",1,4.49,0
3000056946,"QKR LIFE CHOC 13Z","RTE Cereal","Quaker","LIFE",152488,12,"21-12-20",1,4.39,0
3000006322,"QKR LIFE CER CINN 13 OZ","RTE Cereal","Quaker","LIFE",194186,15,"20-03-01",1,3.99,0
1600012499,"GENERAL MILLS LUCKY CHARMS REGULAR WHOLE GRAIN OAT BOX FROSTED 14.9 OZ - 0016000124991","RTE Cereal","Big G","Lucky Charms",218169,22,"20-06-06",1,4.19,0
3800019987,"KELLOGG RAISIN BRAN","RTE Cereal","Kelloggs","Raisin Bran",219172,15,"19-06-04",1,4.19,0
1600048796,"GEN MILLSCHEX-CORN CEREAL","RTE Cereal","Big G","Chex",401156,17,"20-07-11",1,4.29,0
1600043778,"NTRVALLY OATS N CHOC PTN CRL","RTE Cereal","Big G","NATURE VALLEY",254591,22,"21-01-30",1,4.49,0
3000006567,"QKR CAP'N CRNCH CRNCHBRY","RTE Cereal","Quaker","Cap'n Crunch",306777,8,"19-07-14",1,4.49,0
88491212965,"PST CC PEBLES FAMILY SIZE","RTE Cereal","Post","Pebbles",220250,8,"20-05-02",2,8.38,0
3800019888,"KLG FROOT LOOPS 14.7Z","RTE Cereal","Kelloggs","Froot Loops",265240,2,"20-11-25",1,4.69,0
3800021734,"KELLOGG'S EGGO CEREAL HOMESTYLE","RTE Cereal","Kelloggs","Eggo",208236,8,"20-08-31",1,3.99,0
1600012253,"GM CINN TST CRNCH 19.3Z","RTE Cereal","Big G","TOAST CRUNCH",156845,14,"19-02-17",1,4.69,0
1600048794,"GEN MILLSCHEX-RICE CEREAL","RTE Cereal","Big G","Chex",370722,6,"19-04-24",1,3.89,0
1600027583,"GM COUNT CHOCULA 10.4Z","RTE Cereal","Big G","Monsters - Count Chocula, Franken Berry",288641,21,"20-09-20",1,2.59,0
88491201427,"POST HBO W/ALMOND 18OZ","RTE Cereal","Post","Honey Bunches of Oats",288988,16,"19-01-03",1,3.79,0
3800019871,"KLG CORN POPS 10Z","RTE Cereal","Kelloggs","Corn Pops",345527,10,"19-11-17",3,13.47,0
1600043779,"NTR VL GRNL HGH PRTN OTS","RTE Cereal","Big G","NATURE VALLEY",328413,26,"19-05-12",1,4.49,0
1600014155,"HONEY NUT CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",419554,6,"21-12-14",1,1.09,0
3800019987,"KELLOGG RAISIN BRAN","RTE Cereal","Kelloggs","Raisin Bran",149221,7,"21-09-24",1,3.99,0
88491233663,"POST GG RAISIN CLUSTER CRUNCH","RTE Cereal","Post","GREAT GRAINS",87125,16,"20-08-31",1,3.99,0
1600048795,"CHEX FAMILY SIZE RICE CER","RTE Cereal","Big G","Chex",119193,10,"20-01-07",1,4.99,1
3000006567,"QKR CAP'N CRNCH CRNCHBRY","RTE Cereal","Quaker","Cap'n Crunch",301719,8,"19-02-18",2,8.98,0
1600012254,"GENERAL MILLS CINNAMON TOAST CRUNCH CINNAMON TOAST WHOLE WHEAT AND RICE BOX SWEETENED 12 OZ - 0016000122541","RTE Cereal","Big G","TOAST CRUNCH",429439,17,"19-10-25",1,3.79,0
86047900154,"CATALINA SNACKS CEREAL DARK CHOC","RTE Cereal","All Other","All Other",76412,16,"21-04-08",5,36.95,0
1862770321,"KASHI GOLEAN CEREAL13.1","RTE Cereal","Kashi","Kashi",7047,19,"21-05-15",1,3.99,1
1600012506,"GM HON NT CHERIOS 15.4Z","RTE Cereal","Big G","CHEERIOS",353755,22,"19-07-25",1,3.69,0
1600014511,"GM CIN TSTCHR CHUR11.9Z","RTE Cereal","Big G","TOAST CRUNCH",51708,1,"19-02-25",2,9.98,0
1600015762,"GEN MILLSFIBER ONE CEREAL","RTE Cereal","Big G","FIBER ONE",230176,8,"21-07-21",1,4.69,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",306959,32,"20-01-27",1,3.79,1
3800019987,"KELLOGG RAISIN BRAN","RTE Cereal","Kelloggs","Raisin Bran",336402,11,"21-05-04",1,3.69,0
1600048792,"GM HONEY NUT CHEX CEREAL","RTE Cereal","Big G","Chex",205229,10,"20-04-13",1,4.29,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",125317,10,"20-12-10",2,7.58,1
1600012756,"GM LCKYCHRM CERSTP10.5Z","RTE Cereal","Big G","Lucky Charms",37662,6,"19-01-30",1,3.49,0
3800001611,"KELLOGG'S® SPECIAL K® CEREAL","RTE Cereal","Kelloggs","SPECIAL K",222262,16,"19-10-30",1,3.59,0
88491212965,"PST CC PEBLES FAMILY SIZE","RTE Cereal","Post","Pebbles",378453,17,"20-06-06",1,4.19,0
3800019934,"KEL FRST BTSZ MNI WHTS","RTE Cereal","Kelloggs","Mini Wheats",171096,19,"20-04-13",1,4.19,0
1600027578,"GEN MILLSFIBER ONE HNY CLST","RTE Cereal","Big G","FIBER ONE",165850,24,"19-05-23",2,8.98,0
1600014154,"GM CN TST CRNCH CRL CP 12","RTE Cereal","Big G","TOAST CRUNCH",344534,13,"21-05-23",1,1.39,0
1600048792,"GM HONEY NUT CHEX CEREAL","RTE Cereal","Big G","Chex",192817,32,"20-05-06",1,4.29,1
3800019859,"KLG COCOA KRISPIES15.5Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",179903,21,"19-08-24",1,4.49,0
3800057630,"KL MN WHT MAPLE BRN SUGAR","RTE Cereal","Kelloggs","Mini Wheats",336045,13,"19-03-20",2,7.98,0
1600048794,"GEN MILLSCHEX-RICE CEREAL","RTE Cereal","Big G","Chex",293097,16,"20-05-19",1,3.99,0
88491299018,"POST HBO ALMD CUP 2.25Z","RTE Cereal","Post","Honey Bunches of Oats",420973,16,"21-08-07",1,0.99,0
1600048588,"PROTEIN GRANOLA CRANBRY ALMND","RTE Cereal","Big G","NATURE VALLEY",441262,17,"21-07-10",1,4.49,0
1600027568,"GM COCOA PUFFS 16.5 OZ","RTE Cereal","Big G","Cocoa Puffs",81622,13,"19-02-06",1,3.99,0
88491201424,"POST HBO HNY RST 14.5 Z","RTE Cereal","Post","Honey Bunches of Oats",129226,23,"19-03-23",1,3.79,0
3800005220,"KELL FUN PAK CEREAL","RTE Cereal","Kelloggs","OTHER KELLOGGS",358229,6,"21-01-16",1,3.19,0
1600027515,"GM MULTI-GRAIN CHEERIOS","RTE Cereal","Big G","CHEERIOS",10848,21,"20-03-14",1,3.79,0
3800019994,"KLG RICE KRISPIES 12Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",227682,16,"20-12-27",1,3.59,0
1600048772,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",271292,22,"20-10-17",1,4.29,0
5844977050,"NATURES PATH FLAXPLUS 13.","RTE Cereal","NATURE S PATH","NATURE S PATH",183423,2,"20-03-07",1,5.39,0
65585200026,"AURORA VANILLA CR GRANOLA","RTE Cereal","All Other","AURORA NATURAL",203351,8,"20-06-29",1,5.79,0
88491200672,"MARSHMALLOW FRUITY PEBBLES","RTE Cereal","Post","Pebbles",308199,2,"19-07-01",1,3.59,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",192910,7,"20-01-06",1,3.69,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",32998,12,"19-11-30",1,3.69,0
5844977050,"NATURES PATH FLAXPLUS 13.","RTE Cereal","NATURE S PATH","NATURE S PATH",62174,5,"21-12-18",1,3.99,0
88491201427,"POST HBO W/ALMOND 18OZ","RTE Cereal","Post","Honey Bunches of Oats",246030,24,"21-05-29",2,9.38,0
1600012499,"GENERAL MILLS LUCKY CHARMS REGULAR WHOLE GRAIN OAT BOX FROSTED 14.9 OZ - 0016000124991","RTE Cereal","Big G","Lucky Charms",411079,19,"21-05-03",1,4.19,0
60265228690,"KIND HONEY ALMOND CRL","RTE Cereal","Mars","KIND",414687,24,"21-12-21",1,5.99,0
3800059655,"KELL FROSTED FLAKES 15OZ","RTE Cereal","Kelloggs","FROSTED FLAKES",243139,22,"19-01-06",1,4.99,0
1600012222,"GENERAL MILLS REESES PEANUT BUTTER WHOLE GRAIN OAT BOX FROSTED 11.5 OZ - 0016000122221","RTE Cereal","Big G","REESES PUFFS",291711,1,"20-04-20",1,3.49,0
1600035993,"GM CHEERIOS CHCPB11.25Z","RTE Cereal","Big G","CHEERIOS",258004,25,"19-04-04",1,3.49,0
1600017923,"TOAST CRUNCH DULCE DE LECHE TOAST CRUNCH","RTE Cereal","Big G","TOAST CRUNCH",351729,15,"21-08-10",1,4.29,0
3800000110,"Kellogg Corn Flakes","RTE Cereal","Kelloggs","CORN FLAKES",295906,21,"21-03-09",2,8.58,0
1600012253,"GM CINN TST CRNCH 19.3Z","RTE Cereal","Big G","TOAST CRUNCH",193978,11,"19-07-16",1,4.49,0
1862770321,"KASHI GOLEAN CEREAL13.1","RTE Cereal","Kashi","Kashi",387146,7,"19-10-09",1,3.99,0
1600012254,"GENERAL MILLS CINNAMON TOAST CRUNCH CINNAMON TOAST WHOLE WHEAT AND RICE BOX SWEETENED 12 OZ - 0016000122541","RTE Cereal","Big G","TOAST CRUNCH",249279,8,"19-10-25",1,3.79,0
1600012399,"GENERAL MILLS LUCKY CHARMS TOASTED OAT BOX FROSTED 10.5 OZ - 0016000123991","RTE Cereal","Big G","Lucky Charms",275781,11,"19-09-13",1,3.49,0
1600014155,"HONEY NUT CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",69935,26,"21-08-24",7,9.73,0
3800019934,"KEL FRST BTSZ MNI WHTS","RTE Cereal","Kelloggs","Mini Wheats",395072,16,"20-08-02",1,3.49,0
3800057630,"KL MN WHT MAPLE BRN SUGAR","RTE Cereal","Kelloggs","Mini Wheats",139961,17,"19-04-06",2,7.98,0
1600012025,"GENERAL MILLS GOLDEN GRAHAMS GRAHAM WHOLE GRAIN WHEAT BOX 11.7 OZ - 0016000120251","RTE Cereal","Big G","Golden Grahams",261869,21,"19-11-27",1,3.79,0
1600012399,"GENERAL MILLS LUCKY CHARMS TOASTED OAT BOX FROSTED 10.5 OZ - 0016000123991","RTE Cereal","Big G","Lucky Charms",104094,20,"19-06-01",1,3.79,0
88491210210,"POST GG BLUEBERRY MORNING","RTE Cereal","Post","GREAT GRAINS",184842,12,"19-01-04",1,3.99,0
3800018177,"KELL FROSTED FLAKES FMLY","RTE Cereal","Kelloggs","FROSTED FLAKES",273069,2,"20-03-10",1,6.79,0
3000056807,"CAPTAIN CRUNCH COTTON CANDY SWEETENED","RTE Cereal","Quaker","Cap'n Crunch",295388,26,"20-05-23",1,4.29,0
88491211460,"POST RAISIN BRAN CEREAL","RTE Cereal","Post","POST RAISIN BRAN",116477,7,"21-12-07",1,3.69,0
1600048772,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",288463,12,"20-10-28",2,8.58,0
3800018177,"KELL FROSTED FLAKES FMLY","RTE Cereal","Kelloggs","FROSTED FLAKES",310517,7,"19-05-30",1,6.49,0
3800019955,"KELLOGG FRST MNI WHT BITES","RTE Cereal","Kelloggs","Mini Wheats",239571,15,"19-06-14",1,3.99,0
88491212965,"PST CC PEBLES FAMILY SIZE","RTE Cereal","Post","Pebbles",260267,13,"20-08-27",1,4.19,0
1600012479,"GENERAL MILLS HONEY NUT CHEERIOS HONEY NUT WHOLE GRAIN OAT BOX SWEETENED 10.8 OZ - 0016000124791","RTE Cereal","Big G","CHEERIOS",254253,23,"20-11-29",1,3.49,0
3800019957,"KLLG FRST MW PMPSP14.3Z","RTE Cereal","Kelloggs","Mini Wheats",81963,17,"19-09-22",1,3.69,0
3800024865,"KLG SMORZ CEREAL 8.4Z","RTE Cereal","Kelloggs","SMORZ",271543,22,"21-10-08",1,3.99,0
1600012254,"GENERAL MILLS CINNAMON TOAST CRUNCH CINNAMON TOAST WHOLE WHEAT AND RICE BOX SWEETENED 12 OZ - 0016000122541","RTE Cereal","Big G","TOAST CRUNCH",339575,7,"20-02-26",1,3.79,0
3000006531,"CAP CRNCH QKR CRL 14 OZ","RTE Cereal","Quaker","Cap'n Crunch",337712,16,"19-01-27",1,2.99,0
3000006354,"QKR LIFE CEREAL 13OZ","RTE Cereal","Quaker","LIFE",319512,8,"19-02-19",1,3.79,0
1600014983,"GMI CHEERIOS CEREAL BLUEBERRY MID","RTE Cereal","Big G","CHEERIOS",280367,22,"19-05-14",1,3.99,0
1600015125,"GMI CHOC LCKY CHRMS CEREAL MID","RTE Cereal","Big G","Lucky Charms",73369,23,"20-04-21",1,3.79,0
88462310034,"KLG BR NKD HN ALMND PRTN","RTE Cereal","Bear Naked","Bear Naked",285999,14,"19-12-30",2,9.58,0
1600027565,"GM WHEATIES 15.6 OZ","RTE Cereal","Big G","Wheaties",402274,18,"20-12-16",1,5.39,0
1600012399,"GENERAL MILLS LUCKY CHARMS TOASTED OAT BOX FROSTED 10.5 OZ - 0016000123991","RTE Cereal","Big G","Lucky Charms",304803,11,"20-04-01",1,3.49,0
3800020074,"KELLOGG'S® SPECIAL K® RED BERRIES CEREAL","RTE Cereal","Kelloggs","SPECIAL K",12520,11,"20-12-27",1,3.69,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",9376,7,"21-11-04",1,3.99,0
3800020036,"KELLOGG'S® SPECIAL K® CHOCOLATEY DELIGHT CEREAL","RTE Cereal","Kelloggs","SPECIAL K",51167,32,"19-10-05",1,3.99,1
7061700623,"BARBARASCEREAL PUFFINS PNUT BT","RTE Cereal","Barbaras","BARBARAS",315964,25,"20-03-24",1,4.49,0
3800019994,"KLG RICE KRISPIES 12Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",39015,7,"19-08-28",1,4.29,0
1600012253,"GM CINN TST CRNCH 19.3Z","RTE Cereal","Big G","TOAST CRUNCH",415466,21,"21-05-05",1,4.69,0
1600012732,"GM CHEERIOS PUMPSP10.8Z","RTE Cereal","Big G","CHEERIOS",321766,6,"19-10-27",1,2.5,0
1862770317,"KSHI ORG PRMS CIN HARVEST","RTE Cereal","Kashi","Kashi",378783,8,"21-11-07",2,7.98,0
1600027567,"KIX CEREAL","RTE Cereal","Big G","Kix",332605,15,"19-06-25",1,3.99,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",164099,13,"20-09-11",1,3.79,0
3800019851,"KLG APL JACKS 14.7Z","RTE Cereal","Kelloggs","APPLE JACKS",321056,9,"19-03-24",1,4.99,0
3800019220,"KLG RCE KRSP STRW 11.5Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",375976,25,"20-03-01",1,3.59,0
3800019994,"KLG RICE KRISPIES 12Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",267929,5,"19-03-10",1,4.49,0
1862770327,"KASHI GO LEAN CRNCH CEREAL","RTE Cereal","Kashi","Kashi",256730,2,"19-07-28",2,7.98,0
88491218005,"POST SHREDDED BIG BISCUIT","RTE Cereal","Post","Shredded Wheat",164531,10,"20-07-25",1,4.19,0
3000006322,"QKR LIFE CER CINN 13 OZ","RTE Cereal","Quaker","LIFE",394270,25,"21-10-27",1,3.99,0
3800019955,"KELLOGG FRST MNI WHT BITES","RTE Cereal","Kelloggs","Mini Wheats",307970,9,"20-04-24",1,4.19,0
1600048798,"GM CEREAL CHEX VAN CEREAL","RTE Cereal","Big G","Chex",82050,8,"19-10-17",1,3.99,0
1862770339,"KSH GLN CRNCH HN ALMD FLX","RTE Cereal","Kashi","Kashi",292111,27,"20-09-26",1,3.99,0
1600012315,"GM HON NT CHERIOS 19.5Z","RTE Cereal","Big G","CHEERIOS",257153,14,"20-01-06",1,4.59,0
3800020181,"KELL PTART BRWNSGR CRL","RTE Cereal","Kelloggs","Pop Tarts",21236,12,"20-01-17",1,4.99,0
